atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1
15.3208,user1,0,29,user11,webserver,1341,88
15.4207,user1,0,864,user11,webserver,1648,169
15.4877,user1,0,25,user11,webserver,1351,116
15.6851,user1,0,142,user11,webserver,1276,85
15.7012,user1,0,39,user11,webserver,1925,5
15.7274,user1,0,11,user11,webserver,1317,18
16.0289,user1,0,5,user11,webserver,716,28
16.9126,user1,0,43,user11,webserver,1384,8
16.9255,user1,0,35,user11,webserver,1021,89
16.9862,user1,0,58,user11,webserver,1069,73
17.6924,user1,0,6,user11,webserver,1311,3
17.748,user1,0,19,user11,webserver,1423,31
17.8077,user1,0,48,user11,webserver,1798,26
17.8364,user1,0,2,user11,webserver,855,6
17.91,user1,0,16,user11,webserver,1485,369
18.0494,user1,0,8,user11,webserver,1726,85
18.0925,user1,0,10,user11,webserver,1379,440
18.808,user1,0,90,user11,webserver,1190,46
18.8607,user1,0,399,user11,webserver,1077,24
18.8847,user1,0,53,user11,webserver,1305,188
18.9623,user1,0,376,user11,webserver,1764,145
19.1474,user1,0,29,user11,webserver,1841,81
19.3377,user1,0,1018,user11,webserver,1643,17
19.4651,user1,0,52,user11,webserver,1895,8
19.5836,user1,0,44,user11,webserver,1781,23
19.8701,user1,0,42,user11,webserver,1774,10
19.9529,user1,0,92,user11,webserver,1342,133
20.21,user1,0,119,user11,webserver,1841,26
20.4784,user1,0,9,user11,webserver,1175,44
20.5268,user1,0,30,user11,webserver,1184,3
20.6643,user1,0,45,user11,webserver,1211,66
20.7509,user1,0,201,user11,webserver,1649,52
20.7906,user1,0,16,user11,webserver,1047,27
20.8144,user1,0,1676,user11,webserver,1167,478
20.8833,user1,0,62,user11,webserver,1031,33
20.941,user1,0,1,user11,webserver,1413,33
20.9728,user1,0,561,user11,webserver,1775,20
21.1851,user1,0,38,user11,webserver,1414,1602
21.2367,user1,0,6,user11,webserver,1915,57
21.4988,user1,0,52,user11,webserver,1664,2265
21.5989,user1,0,11,user11,webserver,1373,628
21.8114,user1,0,17,user11,webserver,1452,13
21.8922,user1,0,4,user11,webserver,1661,47
21.9698,user1,0,109,user11,webserver,1689,39
22.0499,user1,0,32,user11,webserver,1231,1
22.0875,user1,0,269,user11,webserver,1562,29
22.1504,user1,0,245,user11,webserver,1942,2057
22.2794,user1,0,64,user11,webserver,1832,758
22.2965,user1,0,9,user11,webserver,1803,75
22.73,user1,0,57,user11,webserver,1600,154
22.8307,user1,0,26,user11,webserver,1239,79
23.382,user1,0,261,user11,webserver,1357,1652
23.4006,user1,0,186,user11,webserver,1359,614
23.6155,user1,0,18,user11,webserver,1176,27
23.8193,user1,0,29,user11,webserver,2084,177
23.8355,user1,0,0,user11,webserver,1347,1
23.8437,user1,0,24,user11,webserver,1137,69
23.9286,user1,0,8,user11,webserver,1718,4
23.9568,user1,0,16,user11,webserver,1804,6181
24.0439,user1,0,27,user11,webserver,1967,98
24.2701,user1,0,867,user11,webserver,2051,41
24.382,user1,0,46,user11,webserver,1620,998
24.3888,user1,0,1146,user11,webserver,1931,12
24.4617,user1,0,21,user11,webserver,1953,1535
24.5929,user1,0,54,user11,webserver,2189,2
24.6652,user1,0,14,user11,webserver,1066,26
25.4552,user1,0,58,user11,webserver,1125,3
25.6254,user1,0,4,user11,webserver,1688,204
25.7063,user1,0,116,user11,webserver,1028,1558
25.7509,user1,0,9,user11,webserver,1321,3
25.7649,user1,0,13,user11,webserver,1190,121
26.0592,user1,0,10,user11,webserver,1614,28
26.0749,user1,0,75,user11,webserver,1203,37
26.1927,user1,0,99,user11,webserver,1828,61
26.3114,user1,0,20,user11,webserver,1470,1722
26.4163,user1,0,591,user11,webserver,1615,105
26.4384,user1,0,1429,user11,webserver,1422,120
27.1519,user1,0,34,user11,webserver,1349,469
27.221,user1,0,278,user11,webserver,1511,68
27.5671,user1,0,199,user11,webserver,1592,640
27.6514,user1,0,151,user11,webserver,1386,713
27.9986,user1,0,192,user11,webserver,1132,3446
28.1958,user1,0,294,user11,webserver,1363,525
28.5176,user1,0,55,user11,webserver,1311,190
28.6237,user1,0,265,user11,webserver,992,28
28.7286,user1,0,12,user11,webserver,1984,19
28.7994,user1,0,653,user11,webserver,2030,23
29.3215,user1,0,402,user11,webserver,1434,56
29.5218,user1,0,23,user11,webserver,1111,158
29.5855,user1,0,30,user11,webserver,1002,76
29.6139,user1,0,5,user11,webserver,1919,336
29.848,user1,0,93,user11,webserver,1327,15
29.888,user1,0,63,user11,webserver,1529,46
30.1248,user1,0,4,user11,webserver,1442,76
30.1775,user1,0,6618,user11,webserver,1516,65
30.2038,user1,0,3,user11,webserver,1448,12868
30.4506,user1,0,85,user11,webserver,1947,147
30.5104,user1,0,72,user11,webserver,1731,29
30.5338,user1,0,340,user11,webserver,1202,333
30.6703,user1,0,79,user11,webserver,1593,2
30.7424,user1,0,480,user11,webserver,979,170
30.773,user1,0,227,user11,webserver,1371,124
30.8566,user1,0,21,user11,webserver,1758,11
30.9069,user1,0,78,user11,webserver,1307,161
31.0748,user1,0,98,user11,webserver,1163,238
31.4053,user1,0,8,user11,webserver,1237,161
31.5892,user1,0,27,user11,webserver,1714,67
31.6984,user1,0,51,user11,webserver,1444,44
31.7252,user1,0,33,user11,webserver,1635,558
31.8138,user1,0,1254,user11,webserver,1905,6
31.8316,user1,0,2,user11,webserver,1545,281
32.1914,user1,0,65,user11,webserver,1363,61
32.2207,user1,0,9805,user11,webserver,1322,402
32.2954,user1,0,5,user11,webserver,1192,117
32.4454,user1,0,6927,user11,webserver,1604,60
32.5399,user1,0,23,user11,webserver,1530,6
32.5955,user1,0,33,user11,webserver,859,166
32.6784,user1,0,99,user11,webserver,1715,9
32.9231,user1,0,16,user11,webserver,1674,620
33.3116,user1,0,216,user11,webserver,1645,415
33.405,user1,0,462,user11,webserver,1735,29
33.5088,user1,0,3096,user11,webserver,1216,130
33.6527,user1,0,12,user11,webserver,1757,16
34.0791,user1,0,401,user11,webserver,1261,118
34.102,user1,0,33,user11,webserver,1774,108
34.1445,user1,0,25,user11,webserver,1168,29
34.1774,user1,0,22,user11,webserver,1146,50
34.2422,user1,0,25,user11,webserver,1288,60
34.7699,user1,0,21,user11,webserver,1280,612
34.8414,user1,0,21,user11,webserver,1567,2
34.8709,user1,0,296,user11,webserver,872,2
35.0567,user1,0,287,user11,webserver,1701,1974
35.2718,user1,0,1,user11,webserver,1701,140
35.3501,user1,0,12,user11,webserver,1275,44
35.4445,user1,0,447,user11,webserver,1832,2785
35.5484,user1,0,40,user11,webserver,1971,1
35.6322,user1,0,305,user11,webserver,1307,7
35.7463,user1,0,10,user11,webserver,1811,58
35.7644,user1,0,20,user11,webserver,1068,150
35.9445,user1,0,188,user11,webserver,1786,837
36.1866,user1,0,267,user11,webserver,1553,215
36.2259,user1,0,115,user11,webserver,1227,40
36.3138,user1,0,218,user11,webserver,991,98
36.3302,user1,0,1960,user11,webserver,1988,152
36.4867,user1,0,114,user11,webserver,890,48
36.5345,user1,0,9,user11,webserver,1045,145
36.6588,user1,0,120,user11,webserver,1507,816
36.7751,user1,0,28,user11,webserver,1752,66
37.135,user1,0,7,user11,webserver,2014,282
37.437,user1,0,783,user11,webserver,1499,135
37.6037,user1,0,102,user11,webserver,1604,214
37.6778,user1,0,25,user11,webserver,1213,92
37.7293,user1,0,243,user11,webserver,1342,44
37.7856,user1,0,3,user11,webserver,1548,87
38.2103,user1,0,983,user11,webserver,1323,15
38.6098,user1,0,544,user11,webserver,1723,16
38.6657,user1,0,18,user11,webserver,1713,8
38.7198,user1,0,480,user11,webserver,1238,50
38.734,user1,0,7,user11,webserver,1410,987
38.7651,user1,0,45,user11,webserver,1234,512
39.0319,user1,0,25,user11,webserver,1249,29
39.0792,user1,0,441,user11,webserver,1205,28
39.507,user1,0,12,user11,webserver,1254,15
39.5716,user1,0,40,user11,webserver,1239,4
39.6506,user1,0,11,user11,webserver,1482,44
39.8204,user1,0,51,user11,webserver,1504,12
40.0372,user1,0,6,user11,webserver,1562,82
40.2454,user1,0,148,user11,webserver,1575,143
40.7332,user1,0,46,user11,webserver,1373,624
40.914,user1,0,36,user11,webserver,1927,1034
40.9698,user1,0,15,user11,webserver,1067,15
41.0129,user1,0,57,user11,webserver,1229,36
41.2111,user1,0,240,user11,webserver,2134,1058
41.2231,user1,0,38,user11,webserver,1849,21
41.2633,user1,0,5,user11,webserver,1270,308
41.3802,user1,0,10,user11,webserver,1842,41
41.6354,user1,0,8,user11,webserver,1102,1300
41.7314,user1,0,2,user11,webserver,1327,7
41.8361,user1,0,51,user11,webserver,1492,14
42.0981,user1,0,187,user11,webserver,1247,80
42.1641,user1,0,3433,user11,webserver,1462,243
42.1924,user1,0,9,user11,webserver,1513,101
42.3526,user1,0,109,user11,webserver,1608,4
42.5713,user1,0,64,user11,webserver,1227,80
42.628,user1,0,5,user11,webserver,1638,39
42.6531,user1,0,10,user11,webserver,1320,1692
43.0235,user1,0,139,user11,webserver,1618,1217
43.0473,user1,0,78,user11,webserver,2064,5889
43.0779,user1,0,118,user11,webserver,1687,88
43.1067,user1,0,35,user11,webserver,1059,761
43.3458,user1,0,73,user11,webserver,1306,378
43.3684,user1,0,377,user11,webserver,1494,44
43.3756,user1,0,125,user11,webserver,1910,1073
44.0754,user1,0,7,user11,webserver,1498,123
44.0912,user1,0,96,user11,webserver,1761,542
44.1356,user1,0,9,user11,webserver,1587,736
44.1454,user1,0,1323,user11,webserver,1294,184
44.4932,user1,0,21,user11,webserver,1845,30
44.5746,user1,0,3729,user11,webserver,1799,1
44.7334,user1,0,19,user11,webserver,1415,416
44.7642,user1,0,156,user11,webserver,1689,810
44.8206,user1,0,364,user11,webserver,1393,13
45.0428,user1,0,51,user11,webserver,1793,6
45.4699,user1,0,78,user11,webserver,1692,31
45.4888,user1,0,105,user11,webserver,1829,116
45.5064,user1,0,148,user11,webserver,1367,39
45.7308,user1,0,87,user11,webserver,984,99
45.7706,user1,0,20,user11,webserver,2049,208
46.1491,user1,0,4,user11,webserver,1031,112
46.173,user1,0,231,user11,webserver,1767,16
46.5034,user1,0,40,user11,webserver,1730,17
47.2036,user1,0,4,user11,webserver,1625,82
47.2623,user1,0,205,user11,webserver,1079,43
47.352,user1,0,65,user11,webserver,1583,21
47.3819,user1,0,861,user11,webserver,1620,23
47.462,user1,0,10,user11,webserver,1336,31
47.6301,user1,0,12,user11,webserver,1415,103
47.6792,user1,0,212,user11,webserver,1436,18
48.3243,user1,0,19,user11,webserver,1678,1
48.5331,user1,0,194,user11,webserver,1289,411
48.8437,user1,0,861,user11,webserver,1089,125
48.9014,user1,0,899,user11,webserver,1725,3
48.9218,user1,0,25,user11,webserver,1446,4
48.9616,user1,0,20,user11,webserver,1153,21
49.0216,user1,0,26,user11,webserver,1499,40
49.1555,user1,0,504,user11,webserver,1609,91
49.614,user1,0,3594,user11,webserver,1576,95
49.7008,user1,0,41,user11,webserver,1406,79
49.7262,user1,0,60,user11,webserver,1723,26
49.8453,user1,0,2208,user11,webserver,1570,41
49.9633,user1,0,44,user11,webserver,1899,18
50.0173,user1,0,64,user11,webserver,1777,147
50.036,user1,0,32,user11,webserver,1346,259
50.1631,user1,0,168,user11,webserver,1480,11
50.3179,user1,0,152,user11,webserver,1056,51
50.4648,user1,0,70,user11,webserver,1511,0
50.5356,user1,0,48,user11,webserver,1562,52
50.7597,user1,0,113,user11,webserver,1483,12
51.2021,user1,0,613,user11,webserver,1320,20
51.2719,user1,0,182,user11,webserver,1392,5503
51.385,user1,0,424,user11,webserver,1334,18
51.4133,user1,0,15,user11,webserver,823,99
51.5017,user1,0,71,user11,webserver,1484,1452
51.9886,user1,0,8,user11,webserver,1118,40
51.9979,user1,0,5,user11,webserver,1787,14
52.0262,user1,0,3,user11,webserver,1617,32
52.0733,user1,0,234,user11,webserver,1533,13
52.0982,user1,0,6,user11,webserver,1265,4
52.4487,user1,0,69,user11,webserver,1509,122
52.4893,user1,0,32,user11,webserver,1294,211
52.7617,user1,0,78,user11,webserver,1336,37
52.9109,user1,0,31,user11,webserver,1034,48
53.0679,user1,0,39,user11,webserver,1817,1595
53.1404,user1,0,602,user11,webserver,1551,25
53.1495,user1,0,117,user11,webserver,1545,1340
53.222,user1,0,69,user11,webserver,1544,365
53.3096,user1,0,5,user11,webserver,1402,127
53.8209,user1,0,1,user11,webserver,1744,497
54.1063,user1,0,46,user11,webserver,1271,105
54.15,user1,0,16,user11,webserver,1122,99
54.1647,user1,0,652,user11,webserver,1606,68
54.8582,user1,0,5,user11,webserver,1917,107
54.9414,user1,0,153,user11,webserver,1960,37
55.0216,user1,0,25,user11,webserver,1439,95
55.1423,user1,0,25,user11,webserver,1759,43
55.3356,user1,0,20,user11,webserver,1081,8
55.6499,user1,0,66,user11,webserver,1656,6
56.0654,user1,0,430,user11,webserver,1364,278
56.1789,user1,0,8,user11,webserver,2167,22
56.3435,user1,0,125,user11,webserver,1760,3126
56.3587,user1,0,4,user11,webserver,1486,604
56.4396,user1,0,16,user11,webserver,966,35
56.5952,user1,0,54,user11,webserver,1095,94
56.711,user1,0,278,user11,webserver,2028,10
57.0149,user1,0,950,user11,webserver,1907,161
57.0379,user1,0,76,user11,webserver,1787,36
57.2937,user1,0,524,user11,webserver,1622,64
57.3817,user1,0,34,user11,webserver,1350,14
57.4021,user1,0,3324,user11,webserver,1157,175
57.4926,user1,0,43,user11,webserver,1854,87
57.5045,user1,0,55,user11,webserver,1443,1
57.7244,user1,0,41,user11,webserver,842,123
57.9547,user1,0,27,user11,webserver,1398,48
58.1571,user1,0,26,user11,webserver,1438,2
58.2279,user1,0,14,user11,webserver,1657,6
58.3025,user1,0,67,user11,webserver,1044,24
59.0102,user1,0,4,user11,webserver,1350,5
59.1397,user1,0,43,user11,webserver,1186,1
59.1569,user1,0,24,user11,webserver,2120,103
59.208,user1,0,378,user11,webserver,804,6395
59.8916,user1,0,1097,user11,webserver,1211,27
59.9123,user1,0,17,user11,webserver,1466,50
59.9517,user1,0,75,user11,webserver,1431,196
60.1668,user1,0,119,user11,webserver,1270,118
60.1854,user1,0,234,user11,webserver,941,97
60.2406,user1,0,112,user11,webserver,712,23
60.4656,user1,0,67,user11,webserver,1570,5
60.5194,user1,0,302,user11,webserver,1245,1093
60.5473,user1,0,126,user11,webserver,868,234
60.8957,user1,0,3,user11,webserver,1544,105
61.0236,user1,0,16,user11,webserver,1645,10
61.0481,user1,0,44,user11,webserver,1260,194
61.0708,user1,0,28,user11,webserver,1332,224
61.1299,user1,0,29,user11,webserver,1484,246
61.1862,user1,0,94,user11,webserver,1429,19
62.5033,user1,0,2,user11,webserver,1601,120
62.6161,user1,0,194,user11,webserver,1484,44
62.6493,user1,0,73,user11,webserver,1445,64
62.9332,user1,0,93,user11,webserver,1105,57
62.9521,user1,0,0,user11,webserver,1467,7
63.0618,user1,0,717,user11,webserver,1489,1417
63.166,user1,0,47,user11,webserver,2064,251
63.272,user1,0,86,user11,webserver,1255,69
63.3133,user1,0,55,user11,webserver,1806,102
63.3485,user1,0,57,user11,webserver,1250,105
63.4849,user1,0,20,user11,webserver,1988,4
63.598,user1,0,221,user11,webserver,1577,619
64.1418,user1,0,57,user11,webserver,1119,510
64.324,user1,0,0,user11,webserver,1777,411
64.3711,user1,0,76,user11,webserver,1604,529
64.4076,user1,0,118,user11,webserver,1303,27
64.4789,user1,0,5,user11,webserver,1461,177
64.686,user1,0,85,user11,webserver,1514,171
64.7721,user1,0,379,user11,webserver,1678,31
65.0979,user1,0,838,user11,webserver,1264,110
65.3178,user1,0,61,user11,webserver,1763,50
65.3969,user1,0,9,user11,webserver,1806,680
65.4512,user1,0,817,user11,webserver,1424,12
65.4605,user1,0,14,user11,webserver,1402,19
65.7556,user1,0,7,user11,webserver,1325,523
66.0249,user1,0,48,user11,webserver,735,265
66.0476,user1,0,233,user11,webserver,1604,119
66.1341,user1,0,242,user11,webserver,1836,91
66.1514,user1,0,28,user11,webserver,1747,24
66.1585,user1,0,6,user11,webserver,1172,175
66.2261,user1,0,13,user11,webserver,1689,86
66.2472,user1,0,30,user11,webserver,1032,44
67.275,user1,0,169,user11,webserver,1547,59
67.2876,user1,0,166,user11,webserver,1622,190
67.543,user1,0,3,user11,webserver,1242,82
67.5743,user1,0,61,user11,webserver,1853,139
67.6018,user1,0,85,user11,webserver,1452,816
67.6953,user1,0,75,user11,webserver,2052,19
67.8011,user1,0,12,user11,webserver,940,5
67.8316,user1,0,317,user11,webserver,1799,17
67.9153,user1,0,224,user11,webserver,1195,73
68.1968,user1,0,756,user11,webserver,1940,291
68.2936,user1,0,440,user11,webserver,1676,1
68.3622,user1,0,62,user11,webserver,1423,27
68.4092,user1,0,25,user11,webserver,1543,15
68.533,user1,0,27,user11,webserver,1541,60
68.9067,user1,0,125,user11,webserver,1239,172
68.9992,user1,0,51,user11,webserver,2023,1156
69.089,user1,0,332,user11,webserver,1580,20
69.4678,user1,0,58,user11,webserver,1499,9
69.8858,user1,0,316,user11,webserver,1570,27
70.076,user1,0,139,user11,webserver,2081,459
70.1767,user1,0,5,user11,webserver,1171,744
70.2214,user1,0,8,user11,webserver,1273,2
70.3131,user1,0,48,user11,webserver,1371,18
70.3454,user1,0,176,user11,webserver,1554,80
70.3843,user1,0,224,user11,webserver,1397,66
70.5863,user1,0,97,user11,webserver,1319,400
70.6412,user1,0,104,user11,webserver,1839,502
71.1618,user1,0,34,user11,webserver,914,158
71.2425,user1,0,13,user11,webserver,1196,55
71.3964,user1,0,201,user11,webserver,1578,6
71.4791,user1,0,291,user11,webserver,1602,58
71.5032,user1,0,10,user11,webserver,1682,51
71.7131,user1,0,1345,user11,webserver,1270,295
71.7377,user1,0,76,user11,webserver,2053,14
71.9085,user1,0,79,user11,webserver,1529,20
71.9353,user1,0,113,user11,webserver,1029,925
72.0766,user1,0,31,user11,webserver,1695,16
72.1295,user1,0,1876,user11,webserver,1192,30
72.3521,user1,0,4,user11,webserver,1330,37
72.4442,user1,0,55,user11,webserver,1243,151
72.4871,user1,0,31,user11,webserver,1251,30
72.5594,user1,0,28,user11,webserver,1324,188
72.5936,user1,0,241,user11,webserver,1611,193
72.8608,user1,0,2952,user11,webserver,818,341
73.0536,user1,0,268,user11,webserver,1543,63
73.181,user1,0,9,user11,webserver,1672,161
73.2678,user1,0,83,user11,webserver,1534,19
73.4271,user1,0,21,user11,webserver,1130,8
73.5917,user1,0,232,user11,webserver,977,136
73.8076,user1,0,326,user11,webserver,1761,44
73.96,user1,0,11444,user11,webserver,992,30
74.0357,user1,0,15,user11,webserver,1573,32
74.1007,user1,0,225,user11,webserver,1084,195
74.4526,user1,0,38,user11,webserver,1459,68
74.8256,user1,0,225,user11,webserver,593,263
74.9421,user1,0,1183,user11,webserver,1155,42
75.0127,user1,0,61,user11,webserver,1280,21
75.1055,user1,0,2,user11,webserver,1202,1405
75.1589,user1,0,17,user11,webserver,1079,45
75.6184,user1,0,331,user11,webserver,1855,12
75.6506,user1,0,33,user11,webserver,1035,117
75.8109,user1,0,36,user11,webserver,2366,68
75.844,user1,0,28,user11,webserver,1220,65
76.0115,user1,0,65,user11,webserver,1132,62
76.0996,user1,0,580,user11,webserver,1922,475
76.1463,user1,0,2456,user11,webserver,1638,39
76.2686,user1,0,3,user11,webserver,1167,74
76.337,user1,0,40,user11,webserver,1234,126
76.7049,user1,0,9,user11,webserver,2030,26
76.7424,user1,0,73,user11,webserver,532,21
76.7784,user1,0,43,user11,webserver,959,60
76.9492,user1,0,39,user11,webserver,1766,36
77.0309,user1,0,21,user11,webserver,1189,37
77.2089,user1,0,18,user11,webserver,1036,634
77.3065,user1,0,3,user11,webserver,1008,27
77.353,user1,0,386,user11,webserver,1582,2383
77.5241,user1,0,118,user11,webserver,1618,39
78.1298,user1,0,213,user11,webserver,1212,20
78.5547,user1,0,265,user11,webserver,1788,202
78.8582,user1,0,136,user11,webserver,1129,44
79.2076,user1,0,39,user11,webserver,1052,112
79.3666,user1,0,56,user11,webserver,1885,16
79.4539,user1,0,9,user11,webserver,1642,390
79.4722,user1,0,814,user11,webserver,1699,132
80.2545,user1,0,24,user11,webserver,1203,3981
80.3161,user1,0,7508,user11,webserver,2065,39
80.355,user1,0,56,user11,webserver,738,78
80.6313,user1,0,16,user11,webserver,1525,55
81.0368,user1,0,79,user11,webserver,1967,80
81.1226,user1,0,165,user11,webserver,1363,682
81.2124,user1,0,34,user11,webserver,1227,116
81.3439,user1,0,17,user11,webserver,1692,169
81.7147,user1,0,117,user11,webserver,1654,21
81.9266,user1,0,310,user11,webserver,1704,74
82.0288,user1,0,58,user11,webserver,1867,655
82.3131,user1,0,140,user11,webserver,1632,232
82.3198,user1,0,88,user11,webserver,1787,2368
82.3286,user1,0,166,user11,webserver,1564,140
82.6427,user1,0,57,user11,webserver,1838,53
82.7664,user1,0,6,user11,webserver,1935,74
82.788,user1,0,23,user11,webserver,1574,98
82.8707,user1,0,262,user11,webserver,1295,33
82.9644,user1,0,6,user11,webserver,1029,157
83.0987,user1,0,66,user11,webserver,1601,33
83.1636,user1,0,5436,user11,webserver,1017,206
83.5204,user1,0,19,user11,webserver,1297,188
83.584,user1,0,205,user11,webserver,935,80
83.7982,user1,0,1182,user11,webserver,1578,79
83.8558,user1,0,128,user11,webserver,1383,18
83.8963,user1,0,33,user11,webserver,1766,1130
83.9193,user1,0,29,user11,webserver,1758,74
83.9567,user1,0,1,user11,webserver,897,96
84.022,user1,0,164,user11,webserver,1297,49
84.3157,user1,0,606,user11,webserver,966,185
84.5092,user1,0,371,user11,webserver,1365,1035
84.5604,user1,0,58,user11,webserver,1685,52
84.5912,user1,0,85,user11,webserver,1802,29
84.7526,user1,0,19,user11,webserver,816,679
84.7961,user1,0,46,user11,webserver,1516,158
85.03,user1,0,903,user11,webserver,1773,16
85.0812,user1,0,30,user11,webserver,1913,3
85.0895,user1,0,61,user11,webserver,1346,75
85.0954,user1,0,475,user11,webserver,1613,417
85.1294,user1,0,2,user11,webserver,1722,134
85.2654,user1,0,137,user11,webserver,1435,75
85.3348,user1,0,83,user11,webserver,1873,1
85.4632,user1,0,207,user11,webserver,1568,2
86.2109,user1,0,2,user11,webserver,1282,31
86.286,user1,0,54,user11,webserver,1643,3853
86.4184,user1,0,84,user11,webserver,1001,1
86.6765,user1,0,605,user11,webserver,963,298
86.7166,user1,0,149,user11,webserver,1408,3609
86.9391,user1,0,54,user11,webserver,1493,24
87.1918,user1,0,46,user11,webserver,1178,168
87.2816,user1,0,57,user11,webserver,1369,193
87.3012,user1,0,112,user11,webserver,1750,22
87.3622,user1,0,6,user11,webserver,1095,41
87.6713,user1,0,59,user11,webserver,1031,45
87.9082,user1,0,126,user11,webserver,1864,60
88.1426,user1,0,106,user11,webserver,1744,11
88.3103,user1,0,9,user11,webserver,885,30
