atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1
29.8796,user2,0,51,user21,webserver2,1397,15
30.1977,user2,0,548,user21,webserver2,1390,39
30.427,user2,0,147,user21,webserver2,1280,18
30.6233,user2,0,1,user21,webserver2,2120,147
30.9222,user2,0,185,user21,webserver2,1063,73
30.9614,user2,0,49,user21,webserver2,1433,465
31.3281,user2,0,141,user21,webserver2,1267,24
31.4235,user2,0,111,user21,webserver2,1443,42
31.5473,user2,0,48,user21,webserver2,1591,1
31.6114,user2,0,575,user21,webserver2,1516,23
31.6394,user2,0,189,user21,webserver2,1528,5
31.8162,user2,0,58,user21,webserver2,1433,2856
31.8811,user2,0,17,user21,webserver2,1557,13
31.9592,user2,0,68,user21,webserver2,1591,28
32.1946,user2,0,119,user21,webserver2,2192,36
32.287,user2,0,91,user21,webserver2,1586,444
32.3245,user2,0,129,user21,webserver2,1552,762
32.5809,user2,0,28,user21,webserver2,1068,5
32.7143,user2,0,1037,user21,webserver2,1311,153
32.7651,user2,0,239,user21,webserver2,1398,12
33.0047,user2,0,1,user21,webserver2,1503,3
33.046,user2,0,377,user21,webserver2,1796,910
33.0657,user2,0,5,user21,webserver2,2021,26
33.1779,user2,0,181,user21,webserver2,1517,3
33.2454,user2,0,30,user21,webserver2,1239,22
33.8512,user2,0,465,user21,webserver2,1176,19
33.8791,user2,0,51,user21,webserver2,1274,13
33.9371,user2,0,31,user21,webserver2,1975,136
34.1191,user2,0,501,user21,webserver2,1612,92
34.1308,user2,0,71,user21,webserver2,1690,0
34.175,user2,0,67,user21,webserver2,1587,723
34.2173,user2,0,24,user21,webserver2,1517,67
34.2364,user2,0,8,user21,webserver2,1752,243
34.2612,user2,0,39,user21,webserver2,1737,28
34.3313,user2,0,2,user21,webserver2,1389,376
35.0332,user2,0,353,user21,webserver2,2048,693
35.2883,user2,0,38,user21,webserver2,2109,84
35.3961,user2,0,43,user21,webserver2,1322,77
35.5371,user2,0,102,user21,webserver2,1436,1237
35.5785,user2,0,21,user21,webserver2,783,387
35.6131,user2,0,81,user21,webserver2,1385,8
35.6684,user2,0,74,user21,webserver2,1589,281
35.7039,user2,0,38,user21,webserver2,1288,240
35.7703,user2,0,60,user21,webserver2,1781,13090
36.0863,user2,0,1,user21,webserver2,1083,23
36.4413,user2,0,3,user21,webserver2,1397,57
36.4814,user2,0,453,user21,webserver2,1067,259
36.6395,user2,0,13,user21,webserver2,1920,158
36.7904,user2,0,119,user21,webserver2,935,74
36.9044,user2,0,5,user21,webserver2,1894,25
36.9421,user2,0,46,user21,webserver2,2008,1298
36.9534,user2,0,7,user21,webserver2,1826,113
37.2132,user2,0,74,user21,webserver2,1435,37
37.2542,user2,0,1032,user21,webserver2,1615,24
37.7545,user2,0,80,user21,webserver2,1788,10
37.8287,user2,0,11,user21,webserver2,1844,1
37.8639,user2,0,48,user21,webserver2,1216,27
37.9253,user2,0,20,user21,webserver2,2119,1493
37.9334,user2,0,2985,user21,webserver2,1209,92
38.0649,user2,0,4,user21,webserver2,2007,9
38.1478,user2,0,63,user21,webserver2,2239,647
38.3933,user2,0,73,user21,webserver2,1285,3
38.4305,user2,0,37,user21,webserver2,1171,34
39.2605,user2,0,216,user21,webserver2,1416,244
39.302,user2,0,31,user21,webserver2,2028,24
39.4467,user2,0,5,user21,webserver2,993,131
39.7051,user2,0,22,user21,webserver2,1213,1004
39.9064,user2,0,48,user21,webserver2,2233,3
39.9746,user2,0,10,user21,webserver2,1426,267
40.1724,user2,0,716,user21,webserver2,1413,289
40.5906,user2,0,15,user21,webserver2,1477,76
40.7305,user2,0,57,user21,webserver2,1504,20
40.8771,user2,0,4,user21,webserver2,1943,29
41.2657,user2,0,197,user21,webserver2,1575,700
41.4524,user2,0,30,user21,webserver2,1128,48
41.4652,user2,0,13,user21,webserver2,1222,8
41.585,user2,0,62,user21,webserver2,1241,33
41.6226,user2,0,28,user21,webserver2,1606,812
41.6282,user2,0,19,user21,webserver2,1513,1396
41.7321,user2,0,332,user21,webserver2,692,105
42.105,user2,0,45,user21,webserver2,1726,45
42.1236,user2,0,53,user21,webserver2,915,1303
42.8502,user2,0,2320,user21,webserver2,1901,83
43.0308,user2,0,12,user21,webserver2,1660,211
43.6881,user2,0,96,user21,webserver2,1634,430
43.7101,user2,0,3,user21,webserver2,1129,207
43.7255,user2,0,27,user21,webserver2,1164,22
43.8289,user2,0,13,user21,webserver2,1526,139
43.8414,user2,0,228,user21,webserver2,1365,28
43.8759,user2,0,480,user21,webserver2,1690,153
43.9593,user2,0,366,user21,webserver2,1640,14
44.0423,user2,0,5,user21,webserver2,1340,45
44.2916,user2,0,45,user21,webserver2,1155,133
44.8957,user2,0,21,user21,webserver2,1022,549
44.9421,user2,0,128,user21,webserver2,1553,772
45.0558,user2,0,254,user21,webserver2,1306,73
45.1251,user2,0,219,user21,webserver2,1628,89
45.1846,user2,0,175,user21,webserver2,2138,1
45.2748,user2,0,160,user21,webserver2,1433,41
45.3672,user2,0,54,user21,webserver2,1486,264
45.7609,user2,0,15,user21,webserver2,1817,77
46.2231,user2,0,516,user21,webserver2,1824,21
46.3215,user2,0,201,user21,webserver2,2044,176
46.4053,user2,0,40,user21,webserver2,1555,374
46.64,user2,0,82,user21,webserver2,2134,211
47.0426,user2,0,239,user21,webserver2,1168,12
47.1798,user2,0,4,user21,webserver2,1455,8
47.2774,user2,0,5,user21,webserver2,1431,84
47.509,user2,0,3,user21,webserver2,1347,200
47.6955,user2,0,53,user21,webserver2,1569,44
47.7586,user2,0,18,user21,webserver2,1168,8
47.9272,user2,0,401,user21,webserver2,1418,240
48.0215,user2,0,28,user21,webserver2,1442,12
48.1734,user2,0,17,user21,webserver2,1727,45
48.8273,user2,0,42,user21,webserver2,1498,24
48.844,user2,0,142,user21,webserver2,1064,675
48.8566,user2,0,462,user21,webserver2,1978,13
49.1327,user2,0,164,user21,webserver2,1516,690
49.1845,user2,0,217,user21,webserver2,936,61
49.3202,user2,0,95,user21,webserver2,1490,36
49.372,user2,0,2,user21,webserver2,2193,13
49.8202,user2,0,58,user21,webserver2,1792,4
49.9728,user2,0,234,user21,webserver2,1789,667
50.0326,user2,0,27,user21,webserver2,1439,1412
50.0486,user2,0,54,user21,webserver2,1974,505
50.1888,user2,0,18,user21,webserver2,1696,1203
50.2317,user2,0,86,user21,webserver2,931,5820
50.3129,user2,0,104,user21,webserver2,1518,49
50.9463,user2,0,80,user21,webserver2,1103,952
51.1611,user2,0,6,user21,webserver2,1335,12
51.8034,user2,0,229,user21,webserver2,1884,239
51.8473,user2,0,101,user21,webserver2,1473,65
51.9784,user2,0,18,user21,webserver2,1151,84
51.9885,user2,0,1,user21,webserver2,1602,31
52.2149,user2,0,28,user21,webserver2,1435,369
52.3136,user2,0,17,user21,webserver2,1275,186
52.3595,user2,0,24,user21,webserver2,1728,142
52.3682,user2,0,2,user21,webserver2,1290,59
53.0086,user2,0,56,user21,webserver2,1769,86
53.0205,user2,0,23,user21,webserver2,2008,49
53.1123,user2,0,27,user21,webserver2,1508,78
53.2043,user2,0,4,user21,webserver2,1491,98
53.4716,user2,0,291,user21,webserver2,1600,3383
53.509,user2,0,176,user21,webserver2,1680,123
53.5329,user2,0,5,user21,webserver2,1238,78
53.8647,user2,0,27,user21,webserver2,1135,2
53.9141,user2,0,398,user21,webserver2,1685,59
54.2559,user2,0,5,user21,webserver2,1277,34
54.2936,user2,0,12,user21,webserver2,1942,173
54.3901,user2,0,21,user21,webserver2,1105,131
54.4673,user2,0,553,user21,webserver2,1180,38
54.5193,user2,0,55,user21,webserver2,1642,845
54.638,user2,0,100,user21,webserver2,1556,5
55.045,user2,0,1016,user21,webserver2,1718,583
55.0829,user2,0,112,user21,webserver2,1503,69
55.3754,user2,0,37,user21,webserver2,1089,37
55.955,user2,0,182,user21,webserver2,1241,2
56.2317,user2,0,135,user21,webserver2,1277,183
56.3107,user2,0,3,user21,webserver2,1299,3051
56.4105,user2,0,904,user21,webserver2,1830,78
56.4488,user2,0,27,user21,webserver2,1757,8
56.6542,user2,0,12,user21,webserver2,1354,44
56.6686,user2,0,60,user21,webserver2,1532,26
56.6894,user2,0,109,user21,webserver2,1478,2894
56.7707,user2,0,5,user21,webserver2,1837,168
57.169,user2,0,52,user21,webserver2,1072,2774
57.2853,user2,0,67,user21,webserver2,1213,132
57.3045,user2,0,33,user21,webserver2,1753,1097
57.3172,user2,0,450,user21,webserver2,1452,32
57.5805,user2,0,146,user21,webserver2,1558,21
57.5906,user2,0,758,user21,webserver2,1359,611
58.1464,user2,0,1395,user21,webserver2,1636,18
58.4362,user2,0,27,user21,webserver2,1344,14
58.4606,user2,0,41,user21,webserver2,542,62
58.6415,user2,0,1016,user21,webserver2,1473,581
58.7008,user2,0,48,user21,webserver2,1248,57
58.7348,user2,0,165,user21,webserver2,1571,18
58.7884,user2,0,1164,user21,webserver2,1159,1
58.9433,user2,0,166,user21,webserver2,1639,22
59.05,user2,0,70,user21,webserver2,1790,1075
59.1643,user2,0,10,user21,webserver2,1370,2
59.2797,user2,0,297,user21,webserver2,1886,17
59.3045,user2,0,30,user21,webserver2,1609,308
59.5862,user2,0,242,user21,webserver2,1336,405
59.6743,user2,0,44,user21,webserver2,996,216
60.0641,user2,0,188,user21,webserver2,1438,67
60.2139,user2,0,2,user21,webserver2,1607,31
60.2438,user2,0,427,user21,webserver2,1456,3476
60.3738,user2,0,149,user21,webserver2,1353,10
60.3914,user2,0,78,user21,webserver2,2019,386
60.4308,user2,0,549,user21,webserver2,1071,14
60.4868,user2,0,2,user21,webserver2,1135,42
60.5823,user2,0,26,user21,webserver2,1802,62
60.7932,user2,0,455,user21,webserver2,1101,403
60.8058,user2,0,58,user21,webserver2,1521,156
60.9359,user2,0,358,user21,webserver2,1557,1419
61.0126,user2,0,170,user21,webserver2,1986,193
61.0981,user2,0,88,user21,webserver2,778,128
61.2787,user2,0,103,user21,webserver2,1143,182
61.3482,user2,0,13,user21,webserver2,1416,1
61.4329,user2,0,275,user21,webserver2,1216,206
61.4541,user2,0,86,user21,webserver2,1277,167
61.8213,user2,0,3,user21,webserver2,1512,47
61.9254,user2,0,15,user21,webserver2,1434,228
62.124,user2,0,541,user21,webserver2,1079,9
62.224,user2,0,64,user21,webserver2,1521,2090
62.5537,user2,0,402,user21,webserver2,859,99
62.5825,user2,0,29,user21,webserver2,1722,4000
62.627,user2,0,19,user21,webserver2,1218,770
62.6764,user2,0,30,user21,webserver2,1435,95
62.832,user2,0,9,user21,webserver2,1622,24
63.1896,user2,0,1185,user21,webserver2,1803,138
63.2398,user2,0,10,user21,webserver2,1545,0
63.6048,user2,0,69,user21,webserver2,1321,62
63.7089,user2,0,55,user21,webserver2,1841,34
63.8813,user2,0,109,user21,webserver2,1276,61
63.976,user2,0,86,user21,webserver2,1964,151
63.9917,user2,0,2919,user21,webserver2,1072,264
64.1739,user2,0,18,user21,webserver2,1230,43
64.5111,user2,0,11,user21,webserver2,1421,249
64.5321,user2,0,93,user21,webserver2,1204,29
64.6458,user2,0,72,user21,webserver2,1459,73
64.9669,user2,0,20,user21,webserver2,1742,237
65.0719,user2,0,90,user21,webserver2,1849,48
65.6236,user2,0,50,user21,webserver2,1457,17
65.7986,user2,0,153,user21,webserver2,1035,13
65.8959,user2,0,14,user21,webserver2,1853,103
65.9303,user2,0,10,user21,webserver2,1690,66
66.0854,user2,0,65,user21,webserver2,1567,393
66.0994,user2,0,4,user21,webserver2,1604,51
66.5337,user2,0,455,user21,webserver2,1620,459
66.6405,user2,0,7,user21,webserver2,1290,58
66.7045,user2,0,36,user21,webserver2,1872,55
66.7276,user2,0,13,user21,webserver2,1022,41
66.8931,user2,0,0,user21,webserver2,1535,762
67.2433,user2,0,17,user21,webserver2,1552,16
67.2948,user2,0,14,user21,webserver2,1436,9
67.3404,user2,0,6,user21,webserver2,1184,3255
67.5438,user2,0,21,user21,webserver2,1668,74
67.9023,user2,0,6,user21,webserver2,1257,18
68.0378,user2,0,576,user21,webserver2,1128,17
68.0948,user2,0,128,user21,webserver2,1848,363
68.1048,user2,0,189,user21,webserver2,1501,51
68.1352,user2,0,63,user21,webserver2,1471,20
68.2473,user2,0,53,user21,webserver2,2039,86
68.2565,user2,0,221,user21,webserver2,1103,87
68.314,user2,0,114,user21,webserver2,1417,154
69.3587,user2,0,6873,user21,webserver2,1024,76
69.4668,user2,0,62,user21,webserver2,1663,21
69.5987,user2,0,54,user21,webserver2,1379,7
69.7674,user2,0,146,user21,webserver2,1808,298
69.926,user2,0,161,user21,webserver2,1379,6
70.0322,user2,0,51,user21,webserver2,1573,90
70.0776,user2,0,10,user21,webserver2,1142,26
70.1448,user2,0,21,user21,webserver2,1607,59
70.1729,user2,0,422,user21,webserver2,1482,52
70.2463,user2,0,43,user21,webserver2,1288,205
70.8858,user2,0,240,user21,webserver2,1352,141
71.134,user2,0,120,user21,webserver2,2113,46
71.2378,user2,0,14,user21,webserver2,2152,99
71.5993,user2,0,38,user21,webserver2,1747,133
71.8648,user2,0,101,user21,webserver2,1775,5
71.911,user2,0,41,user21,webserver2,1760,50
72.5433,user2,0,98,user21,webserver2,1593,116
72.7681,user2,0,6917,user21,webserver2,1910,207
72.777,user2,0,62,user21,webserver2,1806,209
72.8099,user2,0,89,user21,webserver2,977,170
72.8201,user2,0,1,user21,webserver2,1540,23
73.0796,user2,0,39,user21,webserver2,1638,149
73.1807,user2,0,57,user21,webserver2,1408,1820
73.2609,user2,0,240,user21,webserver2,1412,40
73.2743,user2,0,25,user21,webserver2,1331,25
73.2808,user2,0,361,user21,webserver2,1621,71
73.332,user2,0,58,user21,webserver2,1590,193
73.7395,user2,0,7,user21,webserver2,1599,28
73.9014,user2,0,95,user21,webserver2,1294,395
73.9913,user2,0,20,user21,webserver2,712,27
74.0922,user2,0,33,user21,webserver2,1579,567
74.3123,user2,0,40,user21,webserver2,1098,29
74.8023,user2,0,7,user21,webserver2,1357,203
74.9181,user2,0,965,user21,webserver2,838,277
74.9297,user2,0,11,user21,webserver2,1582,15
75.0466,user2,0,32,user21,webserver2,2429,852
75.1578,user2,0,341,user21,webserver2,1558,5197
75.1816,user2,0,261,user21,webserver2,1681,34
75.1955,user2,0,44,user21,webserver2,1575,423
75.2396,user2,0,1209,user21,webserver2,1494,78
75.3778,user2,0,35,user21,webserver2,2051,78
75.3993,user2,0,47,user21,webserver2,1492,2
75.9057,user2,0,228,user21,webserver2,1309,335
75.9356,user2,0,144,user21,webserver2,1624,171
76.097,user2,0,6,user21,webserver2,1860,953
76.1664,user2,0,146,user21,webserver2,1775,154
76.7748,user2,0,10,user21,webserver2,1380,34
76.7919,user2,0,8,user21,webserver2,945,12
76.8532,user2,0,127,user21,webserver2,1362,89
76.8991,user2,0,1604,user21,webserver2,1438,31
76.94,user2,0,188,user21,webserver2,1475,20
77.1981,user2,0,17,user21,webserver2,1162,274
77.2747,user2,0,52,user21,webserver2,1701,41
77.2954,user2,0,28,user21,webserver2,1644,18
77.3784,user2,0,59,user21,webserver2,1386,35
77.4295,user2,0,66,user21,webserver2,1510,46
77.7876,user2,0,5,user21,webserver2,2206,54
77.8112,user2,0,42,user21,webserver2,1112,142
78.0583,user2,0,22,user21,webserver2,1490,39
78.1096,user2,0,328,user21,webserver2,1238,161
78.2239,user2,0,32,user21,webserver2,1944,5
78.268,user2,0,51,user21,webserver2,1374,122
78.3932,user2,0,180,user21,webserver2,1850,10
78.4868,user2,0,510,user21,webserver2,1826,160
78.8776,user2,0,104,user21,webserver2,1457,18
78.8916,user2,0,77,user21,webserver2,1168,10
79.0296,user2,0,23,user21,webserver2,1263,19
79.1425,user2,0,52,user21,webserver2,1627,54
79.1772,user2,0,45,user21,webserver2,1306,28
79.2737,user2,0,32,user21,webserver2,984,21
79.314,user2,0,110,user21,webserver2,1756,71
79.4293,user2,0,584,user21,webserver2,1307,1300
79.8637,user2,0,63,user21,webserver2,1957,977
79.9445,user2,0,141,user21,webserver2,1544,73
79.97,user2,0,13,user21,webserver2,1690,2
80.6505,user2,0,10,user21,webserver2,1472,17
80.6697,user2,0,33,user21,webserver2,2030,935
80.7293,user2,0,51,user21,webserver2,1480,151
80.9161,user2,0,6,user21,webserver2,2015,195
80.9802,user2,0,1,user21,webserver2,1759,318
81.0431,user2,0,130,user21,webserver2,1795,285
81.1319,user2,0,346,user21,webserver2,1475,109
81.1784,user2,0,41,user21,webserver2,904,75
81.1978,user2,0,1290,user21,webserver2,1190,68
81.5422,user2,0,36,user21,webserver2,1679,70
81.8556,user2,0,32,user21,webserver2,774,46
82.0576,user2,0,97,user21,webserver2,1783,468
82.1178,user2,0,22,user21,webserver2,1263,417
82.3157,user2,0,15,user21,webserver2,1235,12
82.3413,user2,0,71,user21,webserver2,1564,114
82.3686,user2,0,211,user21,webserver2,1466,11812
82.4231,user2,0,52,user21,webserver2,1640,720
82.5373,user2,0,64,user21,webserver2,1627,5778
82.9346,user2,0,48,user21,webserver2,1353,5
83.1527,user2,0,89,user21,webserver2,1653,85
83.2167,user2,0,29,user21,webserver2,1785,17
83.2964,user2,0,903,user21,webserver2,1888,161
83.6313,user2,0,138,user21,webserver2,1406,409
83.806,user2,0,302,user21,webserver2,1884,11
83.8411,user2,0,35,user21,webserver2,1231,16
83.9426,user2,0,98,user21,webserver2,1363,166
84.4317,user2,0,117,user21,webserver2,1643,2157
84.7731,user2,0,1,user21,webserver2,1729,111
84.9987,user2,0,1861,user21,webserver2,1209,26
85.2265,user2,0,22,user21,webserver2,1276,70
85.2575,user2,0,149,user21,webserver2,1756,187
85.2886,user2,0,18,user21,webserver2,1487,31
85.3381,user2,0,7,user21,webserver2,1054,48
85.4207,user2,0,32,user21,webserver2,1412,565
85.4911,user2,0,124,user21,webserver2,933,124
85.6963,user2,0,15,user21,webserver2,1295,1083
86.4933,user2,0,28,user21,webserver2,1377,35
86.5413,user2,0,560,user21,webserver2,1665,264
86.6118,user2,0,13,user21,webserver2,1399,172
86.6809,user2,0,9,user21,webserver2,2139,314
86.7239,user2,0,29,user21,webserver2,1519,72
86.8898,user2,0,360,user21,webserver2,1033,47
86.9459,user2,0,105,user21,webserver2,1332,26
87.254,user2,0,4313,user21,webserver2,1689,32
87.2883,user2,0,123,user21,webserver2,1443,40
87.3978,user2,0,2220,user21,webserver2,1372,101
87.66,user2,0,1243,user21,webserver2,1456,17
87.7411,user2,0,33,user21,webserver2,1645,1437
87.8246,user2,0,58,user21,webserver2,1941,97
87.8376,user2,0,1692,user21,webserver2,866,184
88.0529,user2,0,356,user21,webserver2,1459,37
88.1783,user2,0,93,user21,webserver2,1680,1
88.2933,user2,0,62,user21,webserver2,1891,28
88.3346,user2,0,111,user21,webserver2,1170,39
88.5101,user2,0,31,user21,webserver2,1507,10
88.5966,user2,0,41,user21,webserver2,1595,1
88.7001,user2,0,1,user21,webserver2,1381,144
88.8562,user2,0,67,user21,webserver2,1341,62
89.4588,user2,0,2,user21,webserver2,1413,292
89.482,user2,0,54,user21,webserver2,1390,117
89.531,user2,0,3,user21,webserver2,1409,48
89.6851,user2,0,412,user21,webserver2,1067,10
90.0989,user2,0,189,user21,webserver2,1391,70
90.3317,user2,0,6,user21,webserver2,1115,21
90.3955,user2,0,142,user21,webserver2,1430,12
